scale,exp_name,method,total_time_ms,solve_time_ms,precond_time_ms,iterations,checkpoint,elapsed_sec,infer_csv,all_infer_csv,infer_log,status
2048,multiphase_v2_2048,PCG-none-cpu,7.2231,7.2209,0.0022,487.75,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/313413458673832758/657a0ff75a0e4ab380bb846dc0c06672/checkpoints/multiphase_v2_2048-simple-epoch=499.ckpt,10,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_2048.log,ok
2048,multiphase_v2_2048,PCG-none-cuda,65.6623,62.0625,3.5998,480.0,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/313413458673832758/657a0ff75a0e4ab380bb846dc0c06672/checkpoints/multiphase_v2_2048-simple-epoch=499.ckpt,10,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_2048.log,ok
2048,multiphase_v2_2048,PCG-diagonal-cpu,7.4665,7.4503,0.0162,432.5,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/313413458673832758/657a0ff75a0e4ab380bb846dc0c06672/checkpoints/multiphase_v2_2048-simple-epoch=499.ckpt,10,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_2048.log,ok
2048,multiphase_v2_2048,PCG-diagonal-cuda,49.2158,48.3642,0.8516,441.5,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/313413458673832758/657a0ff75a0e4ab380bb846dc0c06672/checkpoints/multiphase_v2_2048-simple-epoch=499.ckpt,10,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_2048.log,ok
2048,multiphase_v2_2048,PCG-ainv-cpu,9.8264,7.3651,2.4613,176.5,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/313413458673832758/657a0ff75a0e4ab380bb846dc0c06672/checkpoints/multiphase_v2_2048-simple-epoch=499.ckpt,10,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_2048.log,ok
2048,multiphase_v2_2048,PCG-ainv-cuda,25.0329,22.7349,2.298,176.5,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/313413458673832758/657a0ff75a0e4ab380bb846dc0c06672/checkpoints/multiphase_v2_2048-simple-epoch=499.ckpt,10,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_2048.log,ok
2048,multiphase_v2_2048,PCG-ic-cpu,6.697,6.1439,0.5531,119.25,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/313413458673832758/657a0ff75a0e4ab380bb846dc0c06672/checkpoints/multiphase_v2_2048-simple-epoch=499.ckpt,10,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_2048.log,ok
2048,multiphase_v2_2048,PCG-ic-cuda,58.1001,37.8636,20.2365,106.0,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/313413458673832758/657a0ff75a0e4ab380bb846dc0c06672/checkpoints/multiphase_v2_2048-simple-epoch=499.ckpt,10,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_2048.log,ok
2048,multiphase_v2_2048,Neural,27.0365,6.8001,20.2365,170.0,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/313413458673832758/657a0ff75a0e4ab380bb846dc0c06672/checkpoints/multiphase_v2_2048-simple-epoch=499.ckpt,10,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_2048.log,ok
2048,multiphase_v2_2048,Neural+CUDA,41.8057,21.5692,20.2365,170.0,/orcd/home/002/osbo/ondemand/LearningSparsePreconditioner4GPU/mlruns/313413458673832758/657a0ff75a0e4ab380bb846dc0c06672/checkpoints/multiphase_v2_2048-simple-epoch=499.ckpt,10,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_raw/all_infer_sweep_multiphase_v2_2048_6.csv,/home/osbo/ondemand/fluid-sim/Assets/Scripts/results/lsp_scale_infer_logs/multiphase_v2_2048.log,ok
