model_name,train_split,eval_cell,method,device,setup_ms,setup_ms_std,inference_ms,inference_ms_std,solve_ms,solve_ms_std,iters,iters_std,total_ms,total_ms_std,n_frames
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_id,cg,gpu,0.0000,0.0000,,,45.1620,18.8132,1179.7500,494.5150,45.1620,18.8132,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_id,cg,cpu,0.0000,0.0000,,,433.3960,158.9131,501.6000,184.4381,433.3960,158.9131,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_id,jacobi,gpu,0.0000,0.0000,,,29.2050,7.5552,757.5000,200.3438,29.2050,7.5552,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_id,jacobi,cpu,0.0000,0.0000,,,307.4465,75.9031,355.0000,83.8482,307.4465,75.9031,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_id,ic_amgx,gpu,6.9790,0.6223,,,294.9185,78.5594,23.8500,6.3683,301.8985,78.5940,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_id,ic,cpu,3.9305,0.5645,,,100.6780,24.7982,107.5500,26.0636,104.6110,24.6275,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_id,leafonly,gpu,,,2.3755,0.1901,23.0125,17.5909,296.4000,227.8329,25.3890,17.6126,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_id,amg_cpu,cpu,11.1370,1.3694,,,7.4545,11.4994,3.3000,5.8947,18.5910,12.0213,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_id,amgx_gpu,gpu,15.1465,1.2370,,,108.0650,33.7079,1.6000,0.5026,123.2105,33.4507,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_closed_only,cg,gpu,0.0000,0.0000,,,57.9940,103.5408,1508.2500,2699.8907,57.9940,103.5408,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_closed_only,cg,cpu,0.0000,0.0000,,,526.5970,220.9138,607.5000,261.0056,526.5970,220.9138,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_closed_only,jacobi,gpu,0.0000,0.0000,,,25.6425,8.2581,661.9500,217.3495,25.6425,8.2581,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_closed_only,jacobi,cpu,0.0000,0.0000,,,361.0610,86.7509,413.8500,100.0012,361.0610,86.7509,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_closed_only,ic_amgx,gpu,6.7290,0.3429,,,249.2290,10.5288,20.1500,0.8127,255.9580,10.5168,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_closed_only,ic,cpu,3.6590,0.3829,,,118.6490,28.5904,125.9500,30.9303,122.3070,28.5716,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_closed_only,leafonly,gpu,,,2.4055,0.1571,16.1665,3.4540,208.5000,44.6831,18.5715,3.4999,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_closed_only,amg_cpu,cpu,11.4425,1.0258,,,17.2960,13.8643,8.3000,7.1089,28.7390,13.9854,20
g4096_topo_no_closed_d128_L3_hw_sai,g4096_train_topo_no_closed,g4096_eval_closed_only,amgx_gpu,gpu,15.3320,0.8838,,,101.0480,34.9915,1.5000,0.5130,116.3800,34.9786,20
